hex_id,dft_Emp_Wa,dft_Edu_Wa,dft_Hth_Wa,dft_Lei_Wa,dft_Shp_Wa,dft_Res_Wa,dft_All_Wa,dft_Emp_Cy,dft_Edu_Cy,dft_Hth_Cy,dft_Lei_Cy,dft_Shp_Cy,dft_Res_Cy,dft_All_Cy,dft_Emp_PT,dft_Edu_PT,dft_Hth_PT,dft_Lei_PT,dft_Shp_PT,dft_Res_PT,dft_All_PT,dft_Emp_Ca,dft_Edu_Ca,dft_Hth_Ca,dft_Lei_Ca,dft_Shp_Ca,dft_Res_Ca,dft_All_Ca,dft_Emp_To,dft_Edu_To,dft_Hth_To,dft_Lei_To,dft_Shp_To,dft_Res_To,dft_All_To,dft_Emp_Wa_100,dft_Edu_Wa_100,dft_Hth_Wa_100,dft_Lei_Wa_100,dft_Shp_Wa_100,dft_Res_Wa_100,dft_All_Wa_100,dft_Emp_Cy_100,dft_Edu_Cy_100,dft_Hth_Cy_100,dft_Lei_Cy_100,dft_Shp_Cy_100,dft_Res_Cy_100,dft_All_Cy_100,dft_Emp_PT_100,dft_Edu_PT_100,dft_Hth_PT_100,dft_Lei_PT_100,dft_Shp_PT_100,dft_Res_PT_100,dft_All_PT_100,dft_Emp_Ca_100,dft_Edu_Ca_100,dft_Hth_Ca_100,dft_Lei_Ca_100,dft_Shp_Ca_100,dft_Res_Ca_100,dft_All_Ca_100,dft_Emp_To_100,dft_Edu_To_100,dft_Hth_To_100,dft_Lei_To_100,dft_Shp_To_100,dft_Res_To_100,dft_All_To_100
MD00071,0.0,0.0,1.24,6.12,0.76,3.25,1.73,39.1,11.07,14.47,26.32,15.69,44.57,29.9,2.64,0.26,2.76,8.79,1.0,9.25,3.36,70.52,38.34,39.78,58.35,53.05,77.27,59.86,7.19,0.7,2.55,8.99,1.63,9.49,4.84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD00044,0.0,0.0,1.24,6.12,0.76,3.25,1.73,39.1,11.07,14.47,26.32,15.69,44.57,29.9,2.64,0.26,2.76,8.79,1.0,9.25,3.36,70.52,38.34,39.78,58.35,53.05,77.27,59.86,7.19,0.7,2.55,8.99,1.63,9.49,4.84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD00029,0.0,0.0,1.24,6.12,0.76,3.25,1.73,39.1,11.07,14.47,26.32,15.69,44.57,29.9,2.64,0.26,2.76,8.79,1.0,9.25,3.36,70.52,38.34,39.78,58.35,53.05,77.27,59.86,7.19,0.7,2.55,8.99,1.63,9.49,4.84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA00525,10.68,14.25,1.68,16.68,2.72,16.12,10.92,37.54,25.77,13.12,32.24,17.22,42.92,32.23,14.12,17.28,4.01,16.7,3.65,15.58,12.2,71.16,53.71,41.84,61.69,55.85,77.45,63.27,16.71,16.24,3.36,17.89,3.91,18.2,13.32,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BA00487,17.08,23.92,1.24,21.38,3.3,23.17,16.17,36.56,35.01,10.95,34.67,17.62,41.88,33.38,20.81,27.83,4.13,20.49,4.79,19.06,17.19,71.53,63.08,42.39,63.37,57.31,77.53,65.16,22.29,26.32,3.16,21.96,4.77,22.96,18.11,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
BA00447,16.02,22.05,1.22,21.07,3.18,22.87,15.4,37.16,33.48,10.75,34.66,17.3,42.62,33.45,20.2,26.22,3.97,20.41,4.68,19.05,16.69,71.61,61.55,42.0,63.29,56.83,77.57,64.85,21.75,24.57,3.06,21.79,4.65,22.88,17.54,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
BA00408,5.64,3.69,0.98,18.05,2.05,19.96,7.82,43.07,18.49,8.75,34.56,14.16,49.9,34.12,14.22,10.43,2.45,19.64,3.58,18.93,11.75,72.44,46.48,38.2,62.49,52.07,77.99,61.76,16.42,7.38,2.06,20.1,3.43,22.09,11.99,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA00368,6.8,3.22,1.5,19.64,4.08,21.31,8.91,45.89,22.14,11.72,37.4,18.12,52.58,37.26,15.26,10.99,3.28,20.9,5.91,19.95,13.06,73.22,47.97,40.65,65.1,55.5,78.64,63.86,17.74,7.57,2.84,21.62,5.71,23.41,13.36,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NS00524,12.06,7.54,2.59,23.64,8.42,24.79,13.22,49.76,33.64,18.15,43.03,26.8,55.77,43.26,19.01,16.62,5.36,23.6,10.83,22.01,17.08,74.52,55.21,46.57,70.49,63.61,79.8,68.88,21.87,12.86,4.66,25.11,10.56,26.23,17.66,0.0,1.0,2.0,2.0,1.0,0.0,0.0,7.0,2.0,2.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,2.0,1.0,5.0,1.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
BA00300,10.09,5.93,2.18,22.15,6.8,23.49,11.61,48.32,29.35,15.75,40.93,23.56,54.58,41.02,17.61,14.51,4.58,22.59,8.99,21.24,15.58,74.03,52.51,44.36,68.48,60.58,79.36,67.0,20.33,10.88,3.98,23.81,8.75,25.18,16.05,0.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,3.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NS00459,12.94,8.27,2.77,24.32,9.16,25.38,13.95,50.41,35.58,19.24,43.98,28.27,56.31,44.27,19.65,17.56,5.71,24.06,11.66,22.36,17.75,74.73,56.43,47.57,71.4,64.98,79.99,69.73,22.57,13.75,4.97,25.7,11.38,26.71,18.38,0.0,1.0,2.0,3.0,1.0,0.0,0.0,8.0,2.0,2.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,2.0,1.0,6.0,1.0,10.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
